tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,directors
tt0113535,The Keeper,1995,92,"['Crime', 'Drama']",5.6,323.0,['nm0108284']
tt0113556,The Last Wedding,1995,90,"['Comedy', 'Drama']",6.6,970.0,['nm0702522']
tt0113573,Korea,1995,87,['Drama'],7.2,116.0,['nm0085212']
tt0113581,Kun en pige,1995,170,['Biography'],6.4,438.0,['nm0775733']
tt0113627,Leaving Las Vegas,1995,111,"['Drama', 'Romance']",7.5,129943.0,['nm0001214']
tt0113664,Liste noire,1995,90,"['Drama', 'Thriller']",6.1,579.0,['nm0885249']
tt0113682,Loch Ness,1996,101,"['Adventure', 'Drama', 'Fantasy']",5.5,4683.0,['nm0376487']
tt0113721,My Woman Is Leaving Me,1996,90,"['Comedy', 'Romance']",4.0,87.0,['nm0436687']
tt0113725,Maborosi,1995,110,['Drama'],7.5,6821.0,['nm0466153']
tt0113773,Marching in Darkness,1995,105,['Drama'],6.3,113.0,['nm0816879']
tt0113926,Naked Souls,1996,85,"['Sci-Fi', 'Thriller']",3.3,1693.0,['nm0160952']
tt0113928,The Eternal Evil of Asia,1995,89,"['Comedy', 'Fantasy', 'Horror']",6.1,547.0,['nm0157769']
tt0113961,Neurosia: Fifty Years of Perversion,1995,89,"['Biography', 'Comedy', 'Drama']",6.2,151.0,['nm0902823']
tt0113971,Nothing Funny,1995,95,"['Comedy', 'Drama']",7.3,3680.0,['nm0467666']
tt0113991,No One Could Protect Her,1996,97,"['Biography', 'Crime', 'Drama']",5.6,345.0,['nm0789834']
tt0114071,Over the Wire,1996,88,"['Drama', 'Thriller']",4.3,212.0,['nm0676248']
tt0114134,The Pillow Book,1995,126,['Drama'],6.5,13385.0,['nm0000425']
tt0114204,Pulkownik Kwiatkowski,1995,123,"['Adventure', 'Comedy', 'History']",7.0,918.0,['nm0476591']
tt0114267,"Rudy, the Racing Pig",1995,101,"['Comedy', 'Family']",4.9,356.0,['nm0863633']
tt0114283,Riders in the Storm,1995,87,['Western'],7.0,79.0,['nm0081829']
tt0114317,Sabse Bada Khiladi,1995,162,"['Action', 'Crime', 'Thriller']",5.9,4634.0,['nm0576494']
tt0114368,La scuola,1995,104,"['Comedy', 'Drama']",7.0,981.0,['nm0524516']
tt0114386,Selvaggi,1995,120,"['Adventure', 'Comedy']",4.7,868.0,['nm0889402']
tt0114448,Silent Hunter,1995,97,['Action'],4.5,253.0,['nm0004365']
tt0114461,The Seventh Room,1995,108,"['Biography', 'Drama', 'War']",6.9,225.0,['nm0617767']
tt0114480,Smooth Operator,1995,87,['Drama'],5.0,84.0,['nm0003917']
tt0114508,Species,1995,108,"['Action', 'Horror', 'Sci-Fi']",5.8,82786.0,['nm0002044']
tt0114538,Stefanies Geschenk,1995,65,"['Drama', 'Thriller']",7.3,107.0,['nm0782599']
tt0114550,Stonewall,1995,99,"['Comedy', 'Drama', 'Romance']",7.1,1708.0,['nm0277439']
tt0114581,Bittersweet,1995,105,"['Comedy', 'Drama', 'Romance']",4.5,112.0,['nm0711551']
tt0114615,Taqdeerwala,1995,162,"['Action', 'Comedy', 'Fantasy']",6.5,558.0,['nm0613517']
tt0114616,Tarantella,1995,100,['Drama'],5.3,165.0,['nm0210333']
tt0114623,The Purse Snatcher,1995,96,"['Drama', 'Family', 'Thriller']",6.0,1323.0,['nm0676577']
tt0114658,Theodore Rex,1995,92,"['Action', 'Comedy', 'Family']",2.3,4745.0,['nm0079471']
tt0114660,Things to Do in Denver When You're Dead,1995,115,"['Crime', 'Drama', 'Thriller']",6.7,28869.0,['nm0001219']
tt0114667,Tie-died: Rock 'n Roll's Most Deadicated Fans,1995,80,"['Documentary', 'Music']",6.2,75.0,['nm0066863']
tt0114671,Land and Freedom,1995,109,"['Drama', 'War']",7.5,11710.0,['nm0516360']
tt0114676,Timemaster,1995,100,"['Adventure', 'Sci-Fi', 'Western']",3.5,464.0,['nm0322785']
tt0114697,Top Dog,1995,86,"['Action', 'Comedy', 'Crime']",4.2,3709.0,['nm0635760']
tt0114726,Trimurti,1995,187,"['Action', 'Drama']",4.8,2861.0,['nm0002172']
tt0114766,Watch Me Fly,1996,80,['Drama'],5.8,219.0,['nm0300488']
tt0114775,A Summer in La Goulette,1996,89,"['Comedy', 'Drama']",6.3,821.0,['nm0099276']
tt0114792,Uninhibited,1995,91,"['Action', 'Adult', 'Crime']",5.2,112.0,['nm0010799']
tt0114808,The Star Maker,1995,113,"['Drama', 'Romance']",7.4,5347.0,['nm0868153']
tt0114898,Waterworld,1995,135,"['Action', 'Adventure', 'Sci-Fi']",6.3,203565.0,['nm0721817']
tt0114917,When Saturday Comes,1996,98,"['Drama', 'Sport']",6.0,2484.0,['nm0317440']
tt0114928,White Man's Burden,1995,89,"['Drama', 'Thriller']",5.3,5082.0,['nm0620290']
tt0114936,The Wife,1995,101,"['Comedy', 'Drama']",6.7,354.0,['nm0006888']
tt0114988,The Wrong Woman,1995,90,['Thriller'],5.3,230.0,['nm0413465']
tt0115073,Against the Odds,1995,104,"['Drama', 'Romance']",5.3,218.0,['nm0405128']
tt0115433,101 Dalmatians,1996,103,"['Adventure', 'Comedy', 'Crime']",5.7,114641.0,['nm0378893']
tt0115461,Acri,1996,108,['Fantasy'],5.7,57.0,['nm0411029']
tt0115471,Adrenalin: Fear the Rush,1996,77,"['Action', 'Sci-Fi', 'Thriller']",3.8,3776.0,['nm0089502']
tt0115478,Elective Affinities,1996,98,"['Comedy', 'Drama', 'Romance']",6.1,658.0,"['nm0851754', 'nm0851752']"
tt0115500,Alien Abduction: Intimate Secrets,1996,90,['Sci-Fi'],3.5,278.0,['nm0224739']
tt0115530,American Buffalo,1996,88,['Drama'],5.8,3918.0,['nm0180912']
tt0115556,El anzuelo,1996,85,['Comedy'],6.9,95.0,['nm0727309']
tt0115577,Asphalt Tango,1996,100,['Comedy'],8.0,1816.0,['nm0135952']
tt0115580,The Associate,1996,114,['Comedy'],6.1,8808.0,['nm0677953']
tt0115587,Att stjäla en tjuv,1996,93,"['Comedy', 'Crime', 'Romance']",4.2,795.0,['nm0511351']
tt0115632,Basquiat,1996,107,"['Biography', 'Drama']",6.9,21407.0,['nm0773603']
tt0115640,Beautiful Thing,1996,90,"['Comedy', 'Drama', 'Romance']",7.6,25118.0,['nm0531751']
tt0115653,Ben Johnson: Third Cowboy on the Right,1996,83,['Documentary'],7.3,60.0,['nm0862207']
